year,region,round,t1Name,t1Rank,t1Score,t1Win,t2Name,t2Rank,t2Score,t2Win
2008,"East Regional – Charlotte, North Carolina",round1,North Carolina,1,113,True,Mount St. Mary's,16,74,False
2008,"East Regional – Charlotte, North Carolina",round2,North Carolina,1,108,True,Arkansas,9,77,False
2008,"East Regional – Charlotte, North Carolina",round1,Indiana,8,72,False,Arkansas,9,86,True
2008,"East Regional – Charlotte, North Carolina",round3,North Carolina,1,68,True,Washington St.,4,47,False
2008,"East Regional – Charlotte, North Carolina",round1,Notre Dame,5,68,True,George Mason,12,50,False
2008,"East Regional – Charlotte, North Carolina",round2,Notre Dame,5,41,False,Washington St.,4,61,True
2008,"East Regional – Charlotte, North Carolina",round1,Washington St.,4,71,True,Winthrop,13,40,False
2008,"East Regional – Charlotte, North Carolina",round4,North Carolina,1,83,True,Louisville,3,73,False
2008,"East Regional – Charlotte, North Carolina",round1,Oklahoma,6,72,True,St. Joseph's,11,64,False
2008,"East Regional – Charlotte, North Carolina",round2,Oklahoma,6,48,False,Louisville,3,78,True
2008,"East Regional – Charlotte, North Carolina",round1,Louisville,3,79,True,Boise St.,14,61,False
2008,"East Regional – Charlotte, North Carolina",round3,Louisville,3,79,True,Tennessee,2,60,False
2008,"East Regional – Charlotte, North Carolina",round1,Butler,7,81,True,South Alabama,10,61,False
2008,"East Regional – Charlotte, North Carolina",round2,Butler,7,71,False,Tennessee,2,76*,True
2008,"East Regional – Charlotte, North Carolina",round1,Tennessee,2,72,True,American,15,57,False
2008,"Midwest Regional – Detroit, Michigan",round1,Kansas,1,85,True,Portland St.,16,61,False
2008,"Midwest Regional – Detroit, Michigan",round2,Kansas,1,75,True,UNLV,8,56,False
2008,"Midwest Regional – Detroit, Michigan",round1,UNLV,8,71,True,Kent St.,9,58,False
2008,"Midwest Regional – Detroit, Michigan",round3,Kansas,1,72,True,Villanova,12,57,False
2008,"Midwest Regional – Detroit, Michigan",round1,Clemson,5,69,False,Villanova,12,75,True
2008,"Midwest Regional – Detroit, Michigan",round2,Villanova,12,84,True,Siena,13,72,False
2008,"Midwest Regional – Detroit, Michigan",round1,Vanderbilt,4,62,False,Siena,13,83,True
2008,"Midwest Regional – Detroit, Michigan",round4,Kansas,1,59,True,Davidson,10,57,False
2008,"Midwest Regional – Detroit, Michigan",round1,Southern California,6,67,False,Kansas St.,11,80,True
2008,"Midwest Regional – Detroit, Michigan",round2,Kansas St.,11,55,False,Wisconsin,3,72,True
2008,"Midwest Regional – Detroit, Michigan",round1,Wisconsin,3,71,True,Cal State Fullerton,14,56,False
2008,"Midwest Regional – Detroit, Michigan",round3,Wisconsin,3,56,False,Davidson,10,73,True
2008,"Midwest Regional – Detroit, Michigan",round1,Gonzaga,7,76,False,Davidson,10,82,True
2008,"Midwest Regional – Detroit, Michigan",round2,Davidson,10,74,True,Georgetown,2,70,False
2008,"Midwest Regional – Detroit, Michigan",round1,Georgetown,2,66,True,UMBC,15,47,False
2008,"South Regional – Houston, Texas",round1,Memphis,1,87,True,Texas–Arlington,16,63,False
2008,"South Regional – Houston, Texas",round2,Memphis,1,77,True,Mississippi State,8,74,False
2008,"South Regional – Houston, Texas",round1,Mississippi State,8,76,True,Oregon,9,69,False
2008,"South Regional – Houston, Texas",round3,Memphis,1,92,True,Michigan State,5,74,False
2008,"South Regional – Houston, Texas",round1,Michigan State,5,72,True,Temple,12,61,False
2008,"South Regional – Houston, Texas",round2,Michigan State,5,65,True,Pittsburgh,4,54,False
2008,"South Regional – Houston, Texas",round1,Pittsburgh,4,82,True,Oral Roberts,13,63,False
